trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.002, 'e': 0.9212719586963487}",25,0,-84.39907726898865,"{0: 17, 1: 2, 2: 5, 3: 0, 4: 1}",0
43,False,"{'a': 0.002, 'e': 0.9194312560951247}",20,0,-123.43641296357004,"{0: 10, 1: 1, 2: 7, 3: 1, 4: 1}",0
44,False,"{'a': 0.002, 'e': 0.9175942312201509}",30,0,-152.18138583446182,"{0: 17, 1: 2, 2: 8, 3: 2, 4: 1}",0
45,False,"{'a': 0.002, 'e': 0.9157608767233256}",20,0,-157.39291671214858,"{0: 13, 1: 0, 2: 3, 3: 1, 4: 3}",0
46,False,"{'a': 0.002, 'e': 0.9139311852712282}",30,0,-108.67758128076181,"{0: 21, 1: 2, 2: 2, 3: 5, 4: 0}",0
47,False,"{'a': 0.002, 'e': 0.9121051495450904}",20,0,-90.30403534237921,"{0: 14, 1: 2, 2: 2, 3: 0, 4: 2}",0
48,False,"{'a': 0.002, 'e': 0.910282762240767}",20,0,-108.10015726655455,"{0: 12, 1: 2, 2: 3, 3: 2, 4: 1}",0
49,False,"{'a': 0.002, 'e': 0.9084640160687062}",20,0,-95.27416576415895,"{0: 10, 1: 3, 2: 5, 3: 2, 4: 0}",0
50,False,"{'a': 0.002, 'e': 0.9066489037539209}",30,0,-231.78485688554446,"{0: 14, 1: 3, 2: 9, 3: 1, 4: 3}",0
51,False,"{'a': 0.002, 'e': 0.9048374180359595}",30,0,-106.50698961349623,"{0: 23, 1: 1, 2: 3, 3: 1, 4: 2}",0
52,False,"{'a': 0.002, 'e': 0.9030295516688768}",25,0,-95.6330630560422,"{0: 17, 1: 4, 2: 2, 3: 0, 4: 2}",0
53,False,"{'a': 0.002, 'e': 0.9012252974212047}",20,0,-59.26379332150168,"{0: 12, 1: 4, 2: 3, 3: 1, 4: 0}",0
54,False,"{'a': 0.002, 'e': 0.899424648075924}",20,0,-103.03150194428618,"{0: 11, 1: 1, 2: 7, 3: 0, 4: 1}",0
55,False,"{'a': 0.002, 'e': 0.8976275964304349}",20,0,-120.7418685777314,"{0: 12, 1: 1, 2: 5, 3: 0, 4: 2}",0
56,False,"{'a': 0.002, 'e': 0.8958341352965282}",20,0,-116.26589288211579,"{0: 10, 1: 2, 2: 6, 3: 1, 4: 1}",0
57,False,"{'a': 0.002, 'e': 0.8940442575003572}",20,0,-151.66054589439418,"{0: 12, 1: 1, 2: 4, 3: 0, 4: 3}",0
58,False,"{'a': 0.002, 'e': 0.8922579558824083}",20,0,-59.53751320834906,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
59,False,"{'a': 0.002, 'e': 0.8904752232974726}",20,0,-54.36660363077628,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
60,False,"{'a': 0.002, 'e': 0.8886960526146174}",20,0,-102.52442884309579,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
61,False,"{'a': 0.002, 'e': 0.8869204367171575}",30,0,-171.07461651124297,"{0: 16, 1: 5, 2: 6, 3: 1, 4: 2}",0
62,False,"{'a': 0.002, 'e': 0.8851483685026271}",25,0,-162.25662651381947,"{0: 16, 1: 1, 2: 4, 3: 1, 4: 3}",0
63,False,"{'a': 0.002, 'e': 0.8833798408827509}",35,0,-178.6650919299225,"{0: 21, 1: 3, 2: 7, 3: 2, 4: 2}",0
64,False,"{'a': 0.002, 'e': 0.8816148467834161}",20,0,-165.63162513017465,"{0: 10, 1: 4, 2: 2, 3: 1, 4: 3}",0
65,False,"{'a': 0.002, 'e': 0.8798533791446438}",20,0,-114.07994797121539,"{0: 12, 1: 2, 2: 4, 3: 0, 4: 2}",0
66,False,"{'a': 0.002, 'e': 0.8780954309205613}",30,0,-146.2558193742359,"{0: 19, 1: 3, 2: 5, 3: 1, 4: 2}",0
67,False,"{'a': 0.002, 'e': 0.8763409950793732}",20,8,-7.091161733133902,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
68,False,"{'a': 0.002, 'e': 0.874590064603334}",20,0,-39.412507956646415,"{0: 16, 1: 1, 2: 1, 3: 2, 4: 0}",0
69,False,"{'a': 0.002, 'e': 0.8728426324887193}",20,0,-98.62720725951854,"{0: 12, 1: 3, 2: 2, 3: 2, 4: 1}",0
70,False,"{'a': 0.002, 'e': 0.8710986917457983}",25,0,-208.92909595847894,"{0: 13, 1: 1, 2: 6, 3: 2, 4: 3}",0
71,False,"{'a': 0.002, 'e': 0.8693582353988059}",35,11,-25.54828272809973,"{0: 18, 1: 4, 2: 1, 3: 1, 4: 0}",1
72,False,"{'a': 0.002, 'e': 0.867621256485914}",20,0,-106.03193595027327,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
73,False,"{'a': 0.002, 'e': 0.865887748059205}",20,0,-66.3961559413843,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
74,False,"{'a': 0.002, 'e': 0.8641577031846428}",20,0,-77.23463354473948,"{0: 13, 1: 1, 2: 5, 3: 0, 4: 1}",0
75,False,"{'a': 0.002, 'e': 0.8624311149420455}",30,0,-154.283921452271,"{0: 19, 1: 2, 2: 5, 3: 2, 4: 2}",0
76,False,"{'a': 0.002, 'e': 0.8607079764250578}",25,0,-114.77757381242289,"{0: 13, 1: 4, 2: 7, 3: 0, 4: 1}",0
77,False,"{'a': 0.002, 'e': 0.8589882807411234}",25,0,-186.48865906528084,"{0: 12, 1: 3, 2: 7, 3: 0, 4: 3}",0
78,False,"{'a': 0.002, 'e': 0.8572720210114575}",30,0,-141.02113568614897,"{0: 20, 1: 3, 2: 3, 3: 2, 4: 2}",0
79,False,"{'a': 0.002, 'e': 0.8555591903710185}",20,10,-33.48523295549002,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 1}",1
80,False,"{'a': 0.002, 'e': 0.8538497819684817}",25,0,-86.1434878283261,"{0: 13, 1: 5, 2: 6, 3: 1, 4: 0}",0
81,False,"{'a': 0.002, 'e': 0.8521437889662113}",25,1,-48.979035957187364,"{0: 19, 1: 1, 2: 3, 3: 0, 4: 1}",1
82,False,"{'a': 0.002, 'e': 0.850441204540233}",30,19,-83.12264669485128,"{0: 6, 1: 2, 2: 0, 3: 2, 4: 1}",1
83,False,"{'a': 0.002, 'e': 0.8487420218802068}",20,0,-92.66728461668353,"{0: 13, 1: 1, 2: 4, 3: 1, 4: 1}",0
84,False,"{'a': 0.002, 'e': 0.8470462341893996}",20,0,-128.55595463842377,"{0: 12, 1: 1, 2: 4, 3: 1, 4: 2}",0
85,False,"{'a': 0.002, 'e': 0.8453538346846587}",25,0,-55.139514660794354,"{0: 17, 1: 4, 2: 3, 3: 1, 4: 0}",0
86,False,"{'a': 0.002, 'e': 0.8436648165963837}",25,0,-158.52517998228953,"{0: 15, 1: 1, 2: 6, 3: 0, 4: 3}",0
87,False,"{'a': 0.002, 'e': 0.8419791731684999}",25,0,-114.73096837112733,"{0: 13, 1: 5, 2: 6, 3: 0, 4: 1}",0
88,False,"{'a': 0.002, 'e': 0.8402968976584314}",20,0,-83.56559617473341,"{0: 14, 1: 2, 2: 1, 3: 2, 4: 1}",0
89,False,"{'a': 0.002, 'e': 0.838617983337074}",25,0,-151.06442257356204,"{0: 12, 1: 5, 2: 6, 3: 0, 4: 2}",0
90,False,"{'a': 0.002, 'e': 0.8369424234887681}",25,0,-146.79775384584232,"{0: 16, 1: 0, 2: 6, 3: 1, 4: 2}",0
91,False,"{'a': 0.002, 'e': 0.835270211411272}",20,1,-84.53858586508554,"{0: 12, 1: 2, 2: 3, 3: 1, 4: 1}",1
92,False,"{'a': 0.002, 'e': 0.8336013404157353}",30,0,-144.43237599254275,"{0: 17, 1: 5, 2: 4, 3: 3, 4: 1}",0
93,False,"{'a': 0.002, 'e': 0.8319358038266718}",25,0,-201.63255800717016,"{0: 12, 1: 3, 2: 6, 3: 1, 4: 3}",0
94,False,"{'a': 0.002, 'e': 0.8302735949819326}",30,0,-145.06434842598193,"{0: 22, 1: 1, 2: 3, 3: 1, 4: 3}",0
95,False,"{'a': 0.002, 'e': 0.8286147072326806}",30,19,-13.808548743056665,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
96,False,"{'a': 0.002, 'e': 0.8269591339433623}",30,0,-71.65642227168703,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 1}",0
97,False,"{'a': 0.002, 'e': 0.8253068684916823}",20,0,-61.54512239963659,"{0: 13, 1: 1, 2: 5, 3: 1, 4: 0}",0
98,False,"{'a': 0.002, 'e': 0.8236579042685769}",30,0,-185.97166084953014,"{0: 18, 1: 2, 2: 6, 3: 1, 4: 3}",0
99,False,"{'a': 0.002, 'e': 0.8220122346781865}",30,0,-128.43751564686065,"{0: 20, 1: 2, 2: 4, 3: 3, 4: 1}",0
100,False,"{'a': 0.002, 'e': 0.8203698531378311}",20,0,-86.95434032615353,"{0: 10, 1: 3, 2: 6, 3: 1, 4: 0}",0
101,False,"{'a': 0.002, 'e': 0.8187307530779818}",25,6,-77.99507755492542,"{0: 10, 1: 4, 2: 3, 3: 2, 4: 0}",1
102,False,"{'a': 0.002, 'e': 0.8170949279422366}",25,0,-102.15943999556093,"{0: 18, 1: 3, 2: 1, 3: 1, 4: 2}",0
103,False,"{'a': 0.002, 'e': 0.8154623711872927}",25,13,-6.573605739060979,"{0: 9, 1: 1, 2: 2, 3: 0, 4: 0}",1
104,False,"{'a': 0.002, 'e': 0.8138330762829207}",25,0,-173.32317071793213,"{0: 13, 1: 3, 2: 6, 3: 0, 4: 3}",0
105,False,"{'a': 0.002, 'e': 0.812207036711939}",20,0,-178.29273807639134,"{0: 9, 1: 4, 2: 3, 3: 1, 4: 3}",0
106,False,"{'a': 0.002, 'e': 0.8105842459701871}",20,0,-142.1104035908796,"{0: 9, 1: 3, 2: 6, 3: 0, 4: 2}",0
107,False,"{'a': 0.002, 'e': 0.8089646975664998}",25,0,-36.45099223691099,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
108,False,"{'a': 0.002, 'e': 0.8073483850226815}",30,0,-101.18054995709414,"{0: 19, 1: 3, 2: 6, 3: 2, 4: 0}",0
109,False,"{'a': 0.002, 'e': 0.8057353018734796}",35,8,-130.50939305842914,"{0: 19, 1: 2, 2: 3, 3: 0, 4: 3}",1
110,False,"{'a': 0.002, 'e': 0.8041254416665596}",20,16,7.3917363643290255,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
111,False,"{'a': 0.002, 'e': 0.8025187979624785}",25,0,-52.27636934074537,"{0: 17, 1: 2, 2: 6, 3: 0, 4: 0}",0
112,False,"{'a': 0.002, 'e': 0.8009153643346592}",25,0,-28.180401074860697,"{0: 18, 1: 4, 2: 3, 3: 0, 4: 0}",0
113,False,"{'a': 0.002, 'e': 0.7993151343693651}",35,0,-139.4839561253169,"{0: 20, 1: 5, 2: 8, 3: 1, 4: 1}",0
114,False,"{'a': 0.002, 'e': 0.7977181016656743}",30,16,7.186939660343141,"{0: 12, 1: 2, 2: 0, 3: 0, 4: 0}",1
115,False,"{'a': 0.002, 'e': 0.7961242598354538}",25,0,-83.40623227854422,"{0: 17, 1: 3, 2: 3, 3: 1, 4: 1}",0
116,False,"{'a': 0.002, 'e': 0.794533602503334}",25,0,-88.8843004133778,"{0: 17, 1: 0, 2: 6, 3: 2, 4: 0}",0
117,False,"{'a': 0.002, 'e': 0.7929461233066837}",20,0,-57.42245136851223,"{0: 14, 1: 4, 2: 1, 3: 0, 4: 1}",0
118,False,"{'a': 0.002, 'e': 0.7913618158955839}",25,6,-119.9838433026386,"{0: 13, 1: 0, 2: 2, 3: 2, 4: 2}",1
